Date,Unemployment_Rate_MI,Unemployment_Rate_US,Rank,Highlights
Aug-11,0.103,0.09,,
Sep-11,0.101,0.09,,
Oct-11,0.098,0.088,,
Nov-11,0.096,0.086,,
Dec-11,0.094,0.085,,
Jan-12,0.092,0.083,,
Feb-12,0.091,0.083,,
Mar-12,0.091,0.082,,
Apr-12,0.091,0.082,,
May-12,0.091,0.082,,
Jun-12,0.091,0.082,,
Jul-12,0.091,0.082,,
Aug-12,0.09,0.081,,
Sep-12,0.09,0.078,,
Oct-12,0.09,0.078,,
Nov-12,0.09,0.077,,
Dec-12,0.09,0.079,,
Jan-13,0.09,0.08,,
Feb-13,0.089,0.077,,
Mar-13,0.088,0.075,,
Apr-13,0.087,0.076,,
May-13,0.087,0.075,,
Jun-13,0.087,0.075,,
Jul-13,0.086,0.073,,
Aug-13,0.086,0.073,,
Sep-13,0.085,0.073,,
Oct-13,0.083,0.072,,
Nov-13,0.082,0.069,,
Dec-13,0.081,0.067,,
Jan-14,0.079,0.066,,
Feb-14,0.078,0.067,,
Mar-14,0.077,0.067,,
Apr-14,0.075,0.062,,
May-14,0.074,0.062,,
Jun-14,0.072,0.061,,
Jul-14,0.07,0.062,,
Aug-14,0.068,0.062,,
Sep-14,0.067,0.06,,
Oct-14,0.065,0.057,,
Nov-14,0.064,0.058,,
Dec-14,0.062,0.056,,
Jan-15,0.06,0.057,,
Feb-15,0.059,0.055,,
Mar-15,0.057,0.055,,
Apr-15,0.056,0.054,,
May-15,0.055,0.055,,
Jun-15,0.054,0.053,,
Jul-15,0.052,0.053,,
Aug-15,0.052,0.051,,
Sep-15,0.051,0.051,,
Oct-15,0.051,0.05,,
Nov-15,0.05,0.05,,
Dec-15,0.05,0.05,,
Jan-16,0.05,0.049,,
Feb-16,0.05,0.049,,
Mar-16,0.049,0.05,,
Apr-16,0.049,0.05,,
May-16,0.048,0.047,,
Jun-16,0.048,0.049,,
Jul-16,0.049,0.049,,
Aug-16,0.049,0.049,,
Sep-16,0.05,0.05,,
Oct-16,0.05,0.049,,
Nov-16,0.051,0.046,,
Dec-16,0.051,0.047,,
Jan-17,0.052,0.048,,
Feb-17,0.053,0.047,43,"Michigan’s seasonally adjusted unemployment rate rose to 5.3 percent. At its current level, Michigan's jobless rate is lower by 5.9 percentage points since December 2010, and has risen 0.3 percentage points over the year."
